                                                           recipe_name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            directions                                                                                                                                                                                                                                                  nutrition
                                                Supreme Green Smoothie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Place all ingredients in large blender container in order given. Cover; blend on high 15 to 20 seconds or until completely smooth. Pour into glasses.                                                                                                                   Total Fat 3g 3%, Saturated Fat 0g 1%, Sodium 123mg 5%, Total Carbohydrate 45g 17%, Dietary Fiber 3g 12%, Protein 3g, Potassium 488mg 10%
                                      Furutsu Sando (Fruit Sandwiches)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Beat cream, powdered sugar, and vanilla together in a bowl with an electric mixer on medium speed until stiff peaks form, 3 to 5 minutes. Spread 1 side of each bread slice with whipped cream. Arrange fruit pieces in a diagonal row on 2 of the bread slices, working from 1 corner to the opposite corner. Fill in the areas on both sides of the row with remaining fruit pieces, cutting to fit as necessary. Top with remaining bread slices, cream-sides down. Tightly wrap sandwiches in plastic wrap. Chill at least 1 hour, or up to 24 hours. Remove plastic wrap. With a serrated knife, carefully cut sandwich in half diagonally, slicing through the diagonal fruit row.                Total Fat 24g 31%, Saturated Fat 14g 71%, Cholesterol 82mg 27%, Sodium 369mg 16%, Total Carbohydrate 53g 19%, Dietary Fiber 4g 15%, Total Sugars 24g, Protein 7g, Vitamin C 90mg 449%, Calcium 147mg 11%, Iron 3mg 14%, Potassium 450mg 10%
                                                Tropical Kiwi Ice Pops                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Stir coconut milk and sugar together in a bowl. Pour coconut milk mixture into a blender. Add pineapple and banana; blend until smooth. Pour blended mixture into ice pop molds. Press kiwi into the coconut mixture; freeze until solid, 8 hours to overnight.                                             Total Fat 14g 18%, Saturated Fat 12g 62%, Sodium 10mg 0%, Total Carbohydrate 23g 8%, Dietary Fiber 2g 9%, Total Sugars 17g, Protein 2g, Vitamin C 33mg 167%, Calcium 28mg 2%, Iron 2mg 13%, Potassium 352mg 7%
                                                   Kiwi-Lime Pork Ribs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Preheat oven to 400 degrees F (200 degrees C). Blend kiwis, sugar, vinegar, lime juice, salt, chili powder, cornstarch, and garlic in a blender until thickened into a sauce. Place pork ribs on a baking sheet. Drizzle blended kiwi sauce over ribs. Loosely cover ribs with a sheet of aluminum foil. Cook in preheated oven until tender, about 1 hour.                Total Fat 31g 39%, Saturated Fat 11g 56%, Cholesterol 120mg 40%, Sodium 2446mg 106%, Total Carbohydrate 25g 9%, Dietary Fiber 2g 6%, Total Sugars 19g, Protein 30g, Vitamin C 26mg 132%, Calcium 66mg 5%, Iron 2mg 13%, Potassium 458mg 10%
                                                Caribbean Health Drink                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Blend the carrot, banana, kiwi, apple, pineapple, and ice cubes in a blender until smooth.                                               Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 47mg 2%, Total Carbohydrate 45g 17%, Dietary Fiber 7g 26%, Total Sugars 29g, Protein 2g, Vitamin C 86mg 429%, Calcium 52mg 4%, Iron 1mg 4%, Potassium 695mg 15%
                                                     Spicy Fruit Salsa                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Place kiwis, strawberries, blackberries, and apples in a bowl. Stir in jelly, brown sugar, cayenne pepper, hot sauce, green salsa, and lime juice. Stir together.                                                                    Total Fat 1g 1%, Sodium 149mg 6%, Total Carbohydrate 34g 12%, Dietary Fiber 4g 15%, Total Sugars 27g, Protein 1g, Vitamin C 71mg 356%, Calcium 42mg 3%, Iron 1mg 4%, Potassium 307mg 7%
                                                        Pavlova Deluxe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Preheat oven to 400 degrees F (205 degrees C). Grease interior of 8 inch springform pan and dust lightly with cornstarch. Beat egg whites, preferably in a glass or ceramic bowl, until stiff and glossy. Make sure egg whites have absolutely no contact with grease (fresh or residual), or even a speck of yolk. Combine cream of tartar, white sugar, and cornstarch; gradually beat in to the egg whites. Sprinkle vinegar over egg white mixture, then fold it in very gently. Pile meringue into prepared pan. Spread to the sides leaving a slight depression in the center. Place in preheated oven. Close the oven door, and immediately turn oven down to 250 degrees F (120 degrees C). Bake for 75 to 90 minutes. Open oven door, but leave meringue in the oven for 15 more minutes. Remove meringue to a draft free spot. Very carefully remove rim of springform pan, and allow meringue to cool completely. There may be a slight sinking in the center. Carefully remove meringue from pan base, and place on serving platter. Whip cream, vanilla extract, and confectioners' sugar until thick and firm. Gently spread over the meringue. Remove the pulp from the passion fruit, and spoon over cream. If using kiwi, peel and slice the fruit; arrange slightly overlapping slices in a pleasing design. Chill until serving time.                          Total Fat 14g 18%, Saturated Fat 9g 43%, Cholesterol 51mg 17%, Sodium 58mg 3%, Total Carbohydrate 30g 11%, Dietary Fiber 1g 3%, Total Sugars 27g, Protein 4g, Vitamin C 3mg 15%, Calcium 27mg 2%, Iron 0mg 1%, Potassium 109mg 2%
                                               White Sangria with Kiwi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Mix Chardonnay wine, club soda, orange-flavored liqueur, sugar, grapes, kiwis, and pear in a large pitcher. Stir until sugar is dissolved. Pour wine mixture into wine glasses filled with ice, making sure each glass has some fruit. Garnish with mint sprigs.                                                                       Total Fat 0g 0%, Sodium 10mg 0%, Total Carbohydrate 19g 7%, Dietary Fiber 2g 6%, Total Sugars 14g, Protein 1g, Vitamin C 22mg 112%, Calcium 29mg 2%, Iron 1mg 3%, Potassium 200mg 4%
                                              Strawberry Kiwi Tartlets                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Beat together the egg and water in a bowl. Brush the puff pastry shells with the egg mixture, and bake shells according to package directions. Melt the preserves in a saucepan over low heat. Remove from heat, and stir in the strawberry slices. In a food processor, blend the kiwis and honey until smooth. In a large bowl, beat together the cream and sugar until stiff peaks form. Fill each puff pastry shell with strawberries, drizzle with kiwi sauce, and top with whipped cream to serve.                    Total Fat 17g 22%, Saturated Fat 6g 30%, Cholesterol 29mg 10%, Sodium 241mg 10%, Total Carbohydrate 34g 12%, Dietary Fiber 3g 10%, Total Sugars 16g, Protein 5g, Vitamin C 59mg 293%, Calcium 27mg 2%, Iron 2mg 11%, Potassium 185mg 4%
                              LaWanna's Mango Salsa on Tilapia Fillets                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      In a bowl, toss together the pineapple, strawberries, kiwifruit, mango, tomatoes, cilantro, and balsamic vinegar. Spray a skillet with cooking spray, and heat over medium-high heat. Sprinkle tilapia fillets with seasoned pepper blend, and pan-fry until fish turns white and opaque, 2 to 3 minutes per side. Serve fish topped with salsa.                     Total Fat 3g 4%, Saturated Fat 1g 3%, Cholesterol 63mg 21%, Sodium 84mg 4%, Total Carbohydrate 35g 13%, Dietary Fiber 5g 19%, Total Sugars 26g, Protein 37g, Vitamin C 140mg 702%, Calcium 100mg 8%, Iron 1mg 6%, Potassium 1190mg 25%
                                               A Drama Queen's Pavlova                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Preheat the oven to 450 degrees F (220 degrees C). You will be turning the temperature down to 300 degrees F (150 degrees C) when you put this in to bake. Line a 9 or 10 inch round glass dish with parchment paper. Combine the egg whites and salt in a large bowl. Beat with an electric mixer, or stand mixer using a whisk attachment until able to form soft peaks. Sprinkle in the sugar 1 tablespoon at a time while continuing to whip to stiff peaks. Stir in the vanilla and vinegar, and fold in coconut if using. Spread evenly into the prepared glass dish, making sure to spread out to all of the edges. Place the Pavlova into the oven, and immediately reduce the temperature to 300 degrees F (150 degrees C). Bake for 40 to 50 minutes, or until the top is crisp and a pale straw color. Leave in the oven, and turn off the heat. Let it stay in the oven until the oven has cooled completely. Once the Pavlova is cooled, top generously with sweetened whipped cream. Arrange the strawberries, kiwis, peaches and blueberries in beautiful concentric circles on top.                            Total Fat 5g 6%, Saturated Fat 4g 18%, Cholesterol 8mg 3%, Sodium 56mg 2%, Total Carbohydrate 40g 14%, Dietary Fiber 1g 5%, Total Sugars 37g, Protein 3g, Vitamin C 23mg 116%, Calcium 20mg 2%, Iron 0mg 2%, Potassium 129mg 3%
                                                  Creamy Kiwi Sandwich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        In a small bowl, mix together Neufchatel cheese, lemon zest, and honey. Refrigerate for 1 day to allow the flavors to develop. Spread about 2 tablespoons of the sweetened Neufchatel cheese over one side of a slice of bread. Top with about 2 tablespoons of chopped kiwi fruit, and another slice of bread. Repeat with remaining ingredients to make 8 sandwiches in all.                      Total Fat 9g 11%, Saturated Fat 5g 23%, Cholesterol 21mg 7%, Sodium 381mg 17%, Total Carbohydrate 32g 12%, Dietary Fiber 5g 16%, Total Sugars 10g, Protein 10g, Vitamin C 21mg 106%, Calcium 90mg 7%, Iron 2mg 9%, Potassium 245mg 5%
                                      Char Siu (Chinese Barbeque Pork)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Mix honey, cooking wine, hoisin sauce, kiwi, dark soy sauce, chile sauce, garlic, oyster sauce, and five-spice powder together in a large resealable plastic bag. Add pork belly. Seal bag, pressing out as much air as possible. Place bag on a plate and marinate pork belly in the refrigerator, flipping occasionally, for at least 2 days. Preheat oven to 275 degrees F (135 degrees C) with a rack in the upper third of the oven. Set a wire rack on a rimmed baking sheet. Place pork belly on the wire rack, reserving marinade. Bake pork belly in the preheated oven until the internal temperature reaches 160 degrees F (71 degrees C), about 1 hour. Remove pork belly from the oven; baste with reserved marinade. Move oven rack to the top position and preheat the oven's broiler. Broil pork until it is dark and glossy and the edges start to blacken, about 5 minutes. Flip and baste on the second side. Continue broiling until second side darkens and starts to blacken, about 5 minutes more. Slice with a sharp knife.                       Total Fat 24g 30%, Saturated Fat 8g 39%, Cholesterol 62mg 21%, Sodium 1809mg 79%, Total Carbohydrate 13g 5%, Dietary Fiber 0g 1%, Total Sugars 10g, Protein 21g, Vitamin C 5mg 23%, Calcium 15mg 1%, Iron 1mg 7%, Potassium 345mg 7%
